RECIPIENT NAME,RECIPIENT CITY NAME,RECIPIENT COUNTY CODE,RECIPIENT COUNTY NAME,RECIPIENT STATE CODE,RECIPIENT ZIP CODE,TYPE OF RECIPIENT,TYPE OF ACTION,RECIPIENT CONGRESSIONAL DISTRICT,FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE,FEDERAL FUNDING AMOUNT,NON-FEDERAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT,OBLIGATION ACTION DATE,STARTING DATE,ENDING DATE,TYPE OF ASSISTANCE TRANSACTION,RECORD TYPE,CORRECTION/LATE INDICATOR,FISCAL YEAR AND QUARTER CORRECTION,PRINCIPAL PLACE OF PERFORMANCE: STATE,PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY,CFDA PROGRAM TITLE,FEDERAL AGENCY NAME,STATE NAME FOR RECIPIENT,PROJECT DESCRIPTION
NORTHERN VIRGINIA REGIONAL COM,FORT BELVOIR,059,FAIRFAX COUNTY,VIRGINIA,220314648,Private: all other,new assistance action,90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,175500,0,175500,12/17/2009,12/01/2009,11/30/2010,project grant  (B),action-by-action reporting,NA,NA,VIRGINIA,FORT BELVOIR,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,VIRGINIA,"BASE REALIGNMENT (RA) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN DIRECT RESPONSE TO THE COMBINED IMPACTS IN N"
"PRINCE WILLIAM, COUNTY OF",PRINCE WILLIAM COUNTY,153,PRINCE WILLIAM COUNTY,VIRGINIA,221929201,Government codes: county government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,24957,0,24957,11/09/2009,10/01/2007,12/31/2009,project grant  (B),action-by-action reporting,NA,NA,VIRGINIA,PRINCE WILLIAM COUNTY,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,VIRGINIA,"BASE REALIGNMENT (RA) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN DIRECT RESPONSE TO THE COMBINED IMPACTS FROM"
COUNTY OF CURRY,CANNON AFB,009,CURRY COUNTY,NEW MEXICO,881016664,Government codes: county government,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),03,DOD-OFFICE OF THE SECRETARY OF DEFENSE,2350,0,2350,10/15/2009,04/01/2009,10/31/2010,project grant  (B),action-by-action reporting,NA,NA,NEW MEXICO,CANNON AFB,COMMUNITY ECONOMIC ADJUSTMENT PLANNING ASSISTANCE FOR JOINT LAND USE STUDI,DOD-OFFICE OF THE SECRETARY OF DEFENSE,NEW MEXICO,"ENCROACHMENT (EN) TO PROVIDE TECHNICAL AND FINANCIAL ASSISTANCE TO CANNON AIR FORCE BASE (AFB), CURRY COUNTY, ROOSEVELT COUNTY, CITY OF CLOVIS, CITY"
HENRY M JACKSON FOUNDATION FOR,BETHESDA,031,MONTGOMERY COUNTY,MARYLAND,208521402,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",400000,0,400000,12/22/2009,07/01/2007,08/31/2010,cooperative agreement  (B),action-by-action reporting,NA,NA,MARYLAND,BETHESDA,"DOD MEDICAL RESEARCH, CONSULTATION AND EDUCATION PROGRAMS","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MARYLAND,BLAST SPINAL CORD INJURY PROGRAM BSCIP
HENRY M JACKSON FOUNDATION FOR,BETHESDA,031,MONTGOMERY COUNTY,MARYLAND,208521402,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",400000,0,400000,12/22/2009,07/01/2007,08/31/2010,cooperative agreement  (B),action-by-action reporting,NA,NA,MARYLAND,BETHESDA,"DOD MEDICAL RESEARCH, CONSULTATION AND EDUCATION PROGRAMS","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MARYLAND,BLAST SPINAL CORD INJURY PROGRAM BSCIP
HENRY M JACKSON FOUNDATION FOR,BETHESDA,031,MONTGOMERY COUNTY,MARYLAND,208521402,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",346500,0,346500,10/05/2009,03/01/2006,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,MARYLAND,BETHESDA,"DOD MEDICAL RESEARCH, CONSULTATION AND EDUCATION PROGRAMS","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MARYLAND,DEVELOPMENT OF A MULTI-STAGE MULTI-ANTIGEN VACCINE AGAINST MALARIA
"VANDERBILT UNIVERSITY, THE",NASHVILLE-DAVIDSON,037,DAVIDSON COUNTY,TENNESSEE,372032416,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",93422,0,93422,10/29/2009,01/01/2008,12/31/2010,project grant  (B),action-by-action reporting,NA,NA,TENNESSEE,NASHVILLE-DAVIDSON,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",TENNESSEE,SYSTEM EXECUTION MODELING TECHNOLOGIES FOR LARGE-SCALE NET-CENTRIC DOD SYSTEMS
STATE OF WISCONSIN,MADISON,025,DANE COUNTY,WISCONSIN,537070000,Government codes: State government,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),02,DOT-FEDERAL HIGHWAY ADMINISTRATION,58995,14748,73743,10/09/2009,10/09/2009,12/31/2009,formula grant  (A),action-by-action reporting,NA,NA,WISCONSIN,DANE COUNTY,HIGHWAY PLANNING AND CONSTRUCTION,DOT-FEDERAL HIGHWAY ADMINISTRATION,WISCONSIN,"STH 33 STH 73 - FOX LAKE ROAD, TWN FOX LAKE IN DOD"
UNIVERSITY OF ILLINOIS,CHAMPAIGN,019,CHAMPAIGN COUNTY,ILLINOIS,618013620,Private: private higher education,new assistance action,15,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,200000,0,200000,01/15/2010,01/15/2010,01/14/2011,project grant  (B),action-by-action reporting,NA,NA,ILLINOIS,CHAMPAIGN,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,ILLINOIS,THERMAL SWITICH FEASIBILITY STUDY
CITY OF INGLESIDE,INGLESIDE,409,SAN PATRICIO COUNTY,TEXAS,783625801,Government codes: city or township government,new assistance action,15,DOD-OFFICE OF THE SECRETARY OF DEFENSE,1000000,0,1000000,03/02/2010,02/01/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,TEXAS,INGLESIDE,COMMUNITY ECONOMIC ADJUSTMENT,DOD-OFFICE OF THE SECRETARY OF DEFENSE,TEXAS,SPECIAL PROGRAMS (SP)
SOUTHALL ENVIRONMENTAL ASSOCIA,SANTA CRUZ,087,SANTA CRUZ COUNTY,CALIFORNIA,950604741,Private: profit organization,new assistance action,90,DOD-DEFENSE CONTRACT MANAGEMENT AGENCY,130065,0,130065,03/11/2010,03/11/2010,03/10/2012,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,SANTA CRUZ,BASIC AND APPLIED SCIENTIFIC RESEARCH,DOD-DEFENSE CONTRACT MANAGEMENT AGENCY,CALIFORNIA,"BEHAVIORAL RESPONSE STUDY (BRS): SOCAL-10 AND -11: SCIENTIFIC PLANNING, FIELD EXECUTION, DATA ANALYSIS, AND TRANSPARENT COMMUNICATION OF SCIENTIFIC"
THE REGENTS OF THE UNIVERSITY,LOS ANGELES,037,LOS ANGELES COUNTY,CALIFORNIA,900246523,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,1113495,0,1113495,02/08/2010,02/08/2010,08/07/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,LOS ANGELES,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,SELF ORGANIZED PHYSICAL INTELLIGENCE SYSTEM
THE REGENTS OF THE UNIVERSITY,LOS ANGELES,037,LOS ANGELES COUNTY,CALIFORNIA,900246523,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,299961,0,299961,03/11/2010,03/11/2010,03/31/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,LOS ANGELES,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,INSECT-CONTROLLED UNMANNED AERIAL VEHICLE (UAV'S)
THE REGENTS OF THE UNIVERSITY,LOS ANGELES,037,LOS ANGELES COUNTY,CALIFORNIA,900246523,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,830000,0,830000,02/08/2010,02/08/2010,08/07/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,LOS ANGELES,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,INTELLIGENCE OF NEAR CRITICAL PHYSICAL SYSTEMS
UNIVERSITY OF SOUTHERN CALIFOR,LOS ANGELES,037,LOS ANGELES COUNTY,CALIFORNIA,900890001,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,350000,0,350000,02/22/2010,02/22/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,LOS ANGELES,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,RAPIDLY FORMED ELECTRICAL GRIDS FOR EXTREME SCENARIOS (REGES)
UNIVERSITY OF CENTRAL FLORIDA,ORLANDO,095,ORANGE COUNTY,FLORIDA,328168005,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,229188,0,229188,02/02/2010,05/07/2009,05/07/2011,project grant  (B),action-by-action reporting,NA,NA,FLORIDA,ORLANDO,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,FLORIDA,THE CS STUDY GROUP PROGRAM
GEORGIA TECH RESEARCH CORPORAT,ATLANTA,121,FULTON COUNTY,GEORGIA,303320001,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,664334,0,664334,02/08/2010,09/30/2009,05/30/2011,project grant  (B),action-by-action reporting,NA,NA,GEORGIA,ATLANTA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,GEORGIA,ZENO-BASED OPTO-ELECTRONICS
JOHNS HOPKINS UNIVERSITY,WASHINGTON,317,WILKES COUNTY,GEORGIA,212182680,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),09,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,170187,0,170187,02/02/2010,05/12/2009,05/13/2011,project grant  (B),action-by-action reporting,NA,NA,GEORGIA,WASHINGTON,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,GEORGIA,THE CS STUDY GROUP PROGRAM
UNIVERSITY OF HAWAII,HONOLULU,003,HONOLULU COUNTY,HAWAII,968222309,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,108916,0,108916,03/11/2010,03/11/2010,12/31/2010,project grant  (B),action-by-action reporting,NA,NA,HAWAII,HONOLULU,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,HAWAII,"EVALUATION OF OLEANDER SPHINX MOTH, DAPHNIS NERII, AND THE GIANT SPHINX MOTH...FOR AQUATIC BEATLE MEMS"
UNIVERSITY OF ILLINOIS,CHAMPAIGN,019,CHAMPAIGN COUNTY,ILLINOIS,618013620,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),15,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,1797000,0,1797000,01/21/2010,01/05/2006,03/22/2011,project grant  (B),action-by-action reporting,NA,NA,ILLINOIS,CHAMPAIGN,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,ILLINOIS,DEFENSE SCIENCE OFFICE SENSOR TOPOLOGY AND MINIMALIST PLANNING
MASSACHUSETTS INSTITUTE OF TEC,CAMBRIDGE,017,MIDDLESEX COUNTY,MASSACHUSETTS,021394301,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,690016,0,690016,02/08/2010,02/22/2007,02/11/2011,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,CAMBRIDGE,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,MASSACHUSETTS,INTEGRALLY PACKAGE OF MICBATTERIES
MASSACHUSETTS INSTITUTE OF TEC,CAMBRIDGE,017,MIDDLESEX COUNTY,MASSACHUSETTS,021394301,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,4182,0,4182,03/15/2010,06/27/2005,03/16/2010,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,CAMBRIDGE,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,MASSACHUSETTS,PROACTIVE MOBILE WIRELESS NETWORK
MASSACHUSETTS INSTITUTE OF TEC,CAMBRIDGE,017,MIDDLESEX COUNTY,MASSACHUSETTS,021394301,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,124199,0,124199,03/19/2010,02/22/2007,02/07/2011,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,CAMBRIDGE,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,MASSACHUSETTS,INTEGRALLY PACKAGE 3D MIRCOBATTERIES
HYCRETE INC,CARLSTADT,003,BERGEN COUNTY,NEW JERSEY,070722810,Private: small business,new assistance action,90,DOD-DEFENSE CONTRACT MANAGEMENT AGENCY,900308,0,900308,03/16/2010,03/16/2010,09/15/2011,cooperative agreement  (B),action-by-action reporting,NA,NA,NEW JERSEY,CARLSTADT,BASIC APPLIED AND ADVANCED RESEARCH IN SCIENCE AND ENGINEERING,DOD-DEFENSE CONTRACT MANAGEMENT AGENCY,NEW JERSEY,RESEARCH INTO USE AND TESTING OF HYDROPHOBIC ADMIXTURES TO IMPROVE PERFORMANCE OF CONCRETE MATERIALS AND MITIGATE CORROSION
THE RESEARCH FOUNDATION OF STA,BINGHAMTON,007,BROOME COUNTY,NEW YORK,139026000,Private: private higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,3750000,0,3750000,01/12/2010,01/12/2010,01/11/2012,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,BINGHAMTON,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,NEW YORK,CENTER FOR AUTONOMOUS SOLAR POWER
"CORNELL UNIVERSITY, INC",ITHACA,109,TOMPKINS COUNTY,NEW YORK,148532801,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,493404,0,493404,01/21/2010,01/21/2010,09/30/2011,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,ITHACA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,NEW YORK,ADVANCES IN RADIOISOTOPE POWERED ELECTRON LITHOGRAPHY
DUKE UNIVERSITY,DURHAM,063,DURHAM COUNTY,NORTH CAROLINA,277089900,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),04,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,285949,0,285949,02/02/2010,05/07/2009,05/06/2011,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,DURHAM,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,NORTH CAROLINA,THE CS STUDY GROUP PROGRAM
INTERNATIONAL TECHNOLOGY CENTE,RALEIGH,183,WAKE COUNTY,NORTH CAROLINA,276177300,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,298000,0,298000,03/31/2010,03/31/2010,09/28/2010,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,RALEIGH,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,NORTH CAROLINA,"ELECTROHYDRODYNAMIC PROPULSION CAPABILITIES ASSESSMENT
12.910,SAI NOT AVAILABLE,TRUSTEES OF THE UNIVERSITY OF,60000,PHILADELPHIA,101,PHILADELPHIA COUNTY,PENNSYLVANIA,191046205,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,HR00110610003   0014,"",134327,"",0,"",134327,01/26/2010,11/09/2005,05/31/2010,project grant  (B),action-by-action reporting,"","",4260000,PENNSYLVANIA,PHILADELPHIA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,PENNSYLVANIA,GLOBAL AUTONOMOUS LANGUAGES EXPLOITATATION
12.910,SAI NOT AVAILABLE,TRUSTEES OF THE UNIVERSITY OF,60000,PHILADELPHIA,101,PHILADELPHIA COUNTY,PENNSYLVANIA,191046205,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,HR00110610003   0015,"",1744000,"",0,"",1744000,03/10/2010,11/09/2005,05/31/2010,project grant  (B),action-by-action reporting,"","",4260000,PENNSYLVANIA,PHILADELPHIA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,PENNSYLVANIA,GLOBAL AUTONOMOUS LANGUAGES EXPLOITATION
12.910,SAI NOT AVAILABLE,VANDERBILT UNIVERSITY, THE,52004,NASHVILLE-DAVIDSON,037,DAVIDSON COUNTY,TENNESSEE,372032416,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,HR00110910043   0001,"",252087,"",0,"",252087,02/02/2010,04/28/2009,04/27/2011,project grant  (B),action-by-action reporting,"","",4752004,TENNESSEE,NASHVILLE-DAVIDSON,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,TENNESSEE,THE CS STUDY GROUP PROGRAM"
FORT MONROE FEDERAL AREA,HAMPTON,650,HAMPTON,VIRGINIA,236511112,Government codes: State government,funding adjustment to completed project,90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,71916,0,71916,01/10/2010,10/01/2007,01/31/2010,project grant  (B),action-by-action reporting,NA,NA,VIRGINIA,HAMPTON,COMMUNITY BASE REUSE PLANS,DOD-OFFICE OF THE SECRETARY OF DEFENSE,VIRGINIA,BASE CLOSURE (CL)
MARSHALL UNIVERSITY RESEARCH C,HUNTINGTON,011,CABELL COUNTY,WEST VIRGINIA,257012225,Nonprofit agencies: other nonprofit,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),03,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,6838880,0,6838880,03/24/2010,07/01/2006,06/30/2010,project grant  (B),action-by-action reporting,NA,NA,WEST VIRGINIA,HUNTINGTON,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,WEST VIRGINIA,ROBERT BRYD ADVANCE FLEXIBLE MANUFACTURING
MARSHALL UNIVERSITY RESEARCH C,HUNTINGTON,011,CABELL COUNTY,WEST VIRGINIA,257012225,Nonprofit agencies: other nonprofit,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),03,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,6834506,0,6834506,03/26/2010,07/01/2006,04/30/2011,project grant  (B),action-by-action reporting,NA,NA,WEST VIRGINIA,HUNTINGTON,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,WEST VIRGINIA,ROBERT BYRD ADVANCED FLEXIBLE MANUFACTURING
OREGON HEALTH & SCIENCE UNIVER,OREGON,025,DANE COUNTY,WISCONSIN,972393011,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),02,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,251415,0,251415,02/02/2010,05/07/2009,05/06/2011,project grant  (B),action-by-action reporting,NA,NA,WISCONSIN,OREGON,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,WISCONSIN,THE CS STUDY GROUP PROGRAM
COUNTY OF MADISON,REDSTONE ARSENAL,089,MADISON COUNTY,ALABAMA,358014800,Government codes: county government,new assistance action,05,DOD-OFFICE OF THE SECRETARY OF DEFENSE,822500,0,822500,01/26/2010,02/01/2010,01/31/2011,project grant  (B),action-by-action reporting,NA,NA,ALABAMA,REDSTONE ARSENAL,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,ALABAMA,"BASE REALIGNMENT (RA) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN RESPONSE TO THE REALIGNMENT OF REDSTONE ARSE"
CITY OF TUCSON,TUCSON,019,PIMA COUNTY,ARIZONA,857011303,Government codes: city or township government,funding adjustment to completed project,90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,8412,0,8412,03/02/2010,05/01/2007,07/31/2010,project grant  (B),action-by-action reporting,NA,NA,ARIZONA,TUCSON,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,ARIZONA,"BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN RESPONSE TO THE CLOSURE OF ALLEN HALL U.S. (USAR"
REGENTS OF THE UNIVERSITY OF C,BERKELEY,001,ALAMEDA COUNTY,CALIFORNIA,947045940,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,1037269,0,1037269,03/11/2010,12/21/2009,08/31/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,BERKELEY,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,AUTONOMOUS SENSOR MOTES EMPLOYING LIQUID-BEARING ROTARY STAGES
REGENTS OF THE UNIVERSITY OF C,BERKELEY,001,ALAMEDA COUNTY,CALIFORNIA,947045940,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,402321,0,402321,02/17/2010,02/17/2009,02/16/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,BERKELEY,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,THEORETICAL MATHEMATICS (FATHM) PROGRAM
CALIFORNIA INSTITUTE OF TECHNO,PASADENA,037,LOS ANGELES COUNTY,CALIFORNIA,911250001,Government codes: State controlled institutions of higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,155284,0,155284,03/03/2010,03/03/2010,03/03/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,PASADENA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,UNCOOLED M+NEMS INFRARED DETECTORS
THE REGENTS OF THE UNIVERSITY,LOS ANGELES,037,LOS ANGELES COUNTY,CALIFORNIA,900246523,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,250745,0,250745,02/03/2010,05/01/2009,04/30/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,LOS ANGELES,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,THE CS STUDY GROUP PROGRAM
THE REGENTS OF THE UNIVERSITY,SANTA BARBARA,083,SANTA BARBARA COUNTY,CALIFORNIA,931060001,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,100000,0,100000,02/04/2010,02/04/2010,10/31/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,SANTA BARBARA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,SERS DETECTION FOR EXPLOSIVES VAPOR
